tanggal,isu,tonality,berita_jakarta,link/page
2020-04-08,Inklusi Sosial Pandemi Covid-19,NETRAL,Program Bansos PSBB Pemprov DKI Jakarta dari Pendataan Hingga Mekanisme Distribusi,https://www.beritajakarta.id/read/78638/program-bansos-psbb-pemprov-dki-jakarta-dari-pendataan-hingga-mekanisme-distribusi
2020-04-08,Inklusi Sosial Pandemi Covid-19,NETRAL,Terapkan PSBB Pemprov DKI Siapkan Bansos untuk Warga Miskin dan Rentan Miskin di Jakarta,https://www.beritajakarta.id/read/78503/terapkan-psbb-pemprov-dki-siapkan-bansos-untuk-warga-miskin-dan-rentan-miskin-di-jakarta#.Xo0qM0AzbIU
2020-04-08,Pemberlakuan PSBB di Jakarta,NETRAL,Bupati Kembali Ingatkan Penghentian Sementara Aktivitas Pariwisata,https://www.beritajakarta.id/read/78451/bupati-kembali-ingatkan-penghentian-sementara-aktivitas-pariwisata#.Xox-lEAzbIU
2020-04-08,Pemberlakuan PSBB di Jakarta,NETRAL,PSBB Bidang Transportasi Batasi Kapasitas Penumpang dan Jam Operasional Kendaraan Umum,https://www.beritajakarta.id/read/78502/psbb-bidang-transportasi-batasi-kapasitas-penumpang-dan-jam-operasional-kendaraan-umum#.Xo0qNUAzbIU
2020-04-08,Pemberlakuan PSBB di Jakarta,NETRAL,Anggota Dewan Minta Warga Patuhi Kebijakan PSBB,https://www.beritajakarta.id/read/78513/anggota-dewan-minta-warga-patuhi-kebijakan-psbb#.Xo6FAEAzbIU
2020-04-08,Pemberlakuan PSBB di Jakarta,NETRAL,Terapkan PSBB Pemprov DKI Siapkan Bansos untuk Warga Miskin dan Rentan Miskin di Jakarta,https://www.beritajakarta.id/read/78503/terapkan-psbb-pemprov-dki-siapkan-bansos-untuk-warga-miskin-dan-rentan-miskin-di-jakarta#.Xo0qM0AzbIU
2020-04-08,Pemberlakuan PSBB di Jakarta,NETRAL,Pemprov DKI Terapkan PSBB Efektif Mulai 10 April 2020 Kecuali Sejumlah Sektor,https://www.beritajakarta.id/read/78501/pemprov-dki-terapkan-psbb-efektif-mulai-10-april-2020-kecuali-sejumlah-sektor#.Xo0qOkAzbIU
2020-04-09,Sosialiasi Jelang Penetapan Pembatasan Sosial Berskala Besar (PSBB) Ibu Kota,NETRAL,Akses Masuk Kepulauan Seribu Terus Diperketat,https://www.beritajakarta.id/read/78539/akses-masuk-kepulauan-seribu-terus-diperketat#.Xo7CAkAzbIU
2020-04-09,Sosialiasi Jelang Penetapan Pembatasan Sosial Berskala Besar (PSBB) Ibu Kota,NETRAL,Pemprov DKI Koordinasi Lintas Wilayah Jelang Penerapan PSBB,https://www.beritajakarta.id/read/78535/pemprov-dki-koordinasi-lintas-wilayah-jelang-penerapan-psbb#.Xo7CH0AzbIU
2020-04-13,Hari Ketiga PSBB di Jakarta,POSITIF,Disnakertrans dan Energi DKI Tinjau Penerapan PSBB,https://www.beritajakarta.id/read/78659/disnakertrans-dan-energi-dki-tinjau-penerapan-psbb#.XpV2HUAzbIU
2020-04-13,Hari Ketiga PSBB di Jakarta,POSITIF,Pengwasan PSBB di Terminal Kampung Rambutan Diperketat,https://www.beritajakarta.id/read/78655/pengwasan-psbb-di-terminal-kampung-rambutan-diperketat#.XpV330AzbIU
2020-04-13,Hari Ketiga PSBB di Jakarta,POSITIF,Petugas Gabungan di Jaksel Pantau PSBB di Tiga Lokasi,https://www.beritajakarta.id/read/78642/petugas-gabungan-di-jaksel-pantau-psbb-di-tiga-lokasi#.XpV340AzbIU
2020-04-13,Hari Ketiga PSBB di Jakarta,POSITIF,Monitoring PSBB Dilakukan di Terminal Kalideres,
2020-04-13,Hari Ketiga PSBB di Jakarta,POSITIF,Pemprov DKI dan Forkopimda Evaluasi Tiga Hari Pertama Pelaksanaan PSBB,
2020-04-13,Hari Ketiga PSBB di Jakarta,POSITIF,Satpol PP Optimalkan Pengawasan PSBB,
2020-04-13,Hari Ketiga PSBB di Jakarta,POSITIF,Wabup Minta Petugas Aktif Monitoring PSBB,
2020-04-13,Hari Ketiga PSBB di Jakarta,POSITIF,Penerapan PSBB Disosialisasikan di Pusat Perbelanjaan,
2020-04-13,Hari Ketiga PSBB di Jakarta,POSITIF,1.799 Kendaraan Langgar Aturan PSBB di Jakut Ditindak,
2020-04-13,Hari Ketiga PSBB di Jakarta,POSITIF,Titik Pemeriksaan Wilayah Perbatasan Selama PSBB Dijaga 24 Jam,
2020-04-13,Hari Ketiga PSBB di Jakarta,POSITIF,Pemkot Jakpus Monitoring Pelaksanaan PSBB di Kawasan Bundaran HI,
2020-04-13,Hari Ketiga PSBB di Jakarta,POSITIF,Kecamatan Mampang Prapatan Monitoring Penerapan PSBB,
2020-04-13,Hari Ketiga PSBB di Jakarta,POSITIF,128 Petugas Sudinhub Jakut Awasi Penerapan PSBB,https://www.beritajakarta.id/read/78575/128-petugas-sudinhub-jakut-awasi-penerapan-psbb#.XpV8uUAzbIU
2020-04-13,Hari Ketiga PSBB di Jakarta,POSITIF,Satpol PP Jakpus Sosialisasikan PSBB di Enam Lokasi,
2020-04-13,Hari Ketiga PSBB di Jakarta,POSITIF,Pedagang Pasar Serdang Disosialisasikan PSBB,
2020-04-13,Hari Ketiga PSBB di Jakarta,POSITIF,Amarta Apresiasi Penerapan PSBB dan Pemberian Bantuan Sosial,
2020-04-13,Hari Ketiga PSBB di Jakarta,POSITIF,Sosialisasi Penerapan PSBB Digencarkan,
2020-04-13,Hari Ketiga PSBB di Jakarta,POSITIF,Wakil Ketua DPRD Ajak Warga Patuhi Pelaksanaan PSBB,
2020-04-13,Hari Ketiga PSBB di Jakarta,POSITIF,Warga Pulau Tidung Disosialisasikan Penerapan PSBB,
2020-04-13,Hari Ketiga PSBB di Jakarta,POSITIF,Pemprov DKI Terbitkan Pergub Nomor 33 Tahun 2020 Sebagai Dasar Hukum Pelaksanaan PSBB,
2020-04-13,Hari Ketiga PSBB di Jakarta,POSITIF,Pedagang dan Penumpang KRL di Stasiun Gondangdia Disosialisasikan PSBB,
2020-04-13,Hari Ketiga PSBB di Jakarta,POSITIF,Warga Tanah Abang Disosialisasikan Kebijakan PSBB,
2020-04-14,Update Perkembangan PSBB di Jakarta,NETRAL,Disnakertrans dan Energi DKI Tinjau Penerapan PSBB,
2020-04-14,Update Perkembangan PSBB di Jakarta,NETRAL,Pengwasan PSBB di Terminal Kampung Rambutan Diperketat,
2020-04-14,Update Perkembangan PSBB di Jakarta,NETRAL,Petugas Gabungan di Jaksel Pantau PSBB di Tiga Lokasi,
2020-04-14,Update Perkembangan PSBB di Jakarta,NETRAL,Monitoring PSBB Dilakukan di Terminal Kalideres,
2020-04-14,Update Perkembangan PSBB di Jakarta,NETRAL,Pemprov DKI dan Forkopimda Evaluasi Tiga Hari Pertama Pelaksanaan PSBB,
2020-04-14,Update Perkembangan PSBB di Jakarta,NETRAL,Satpol PP Optimalkan Pengawasan PSBB,
2020-04-14,Update Perkembangan PSBB di Jakarta,NETRAL,Wabup Minta Petugas Aktif Monitoring PSBB,
2020-04-14,Update Perkembangan PSBB di Jakarta,NETRAL,Penerapan PSBB Disosialisasikan di Pusat Perbelanjaan,
2020-04-14,Update Perkembangan PSBB di Jakarta,NETRAL,1.799 Kendaraan Langgar Aturan PSBB di Jakut Ditindak,
2020-04-14,Update Perkembangan PSBB di Jakarta,NETRAL,Titik Pemeriksaan Wilayah Perbatasan Selama PSBB Dijaga 24 Jam,
2020-04-14,Update Perkembangan PSBB di Jakarta,NETRAL,Pemkot Jakpus Monitoring Pelaksanaan PSBB di Kawasan Bundaran HI,
2020-04-14,Update Perkembangan PSBB di Jakarta,NETRAL,Kecamatan Mampang Prapatan Monitoring Penerapan PSBB,
2020-04-14,Update Perkembangan PSBB di Jakarta,NETRAL,128 Petugas Sudinhub Jakut Awasi Penerapan PSBB,
2020-04-14,Update Perkembangan PSBB di Jakarta,NETRAL,Satpol PP Jakpus Sosialisasikan PSBB di Enam Lokasi,
2020-04-14,Update Perkembangan PSBB di Jakarta,NETRAL,Pedagang Pasar Serdang Disosialisasikan PSBB,
2020-04-14,Update Perkembangan PSBB di Jakarta,NETRAL,Amarta Apresiasi Penerapan PSBB dan Pemberian Bantuan Sosial,
2020-04-14,Update Perkembangan PSBB di Jakarta,NETRAL,Sosialisasi Penerapan PSBB Digencarkan,
2020-04-14,Update Perkembangan PSBB di Jakarta,NETRAL,Wakil Ketua DPRD Ajak Warga Patuhi Pelaksanaan PSBB,
2020-04-14,Update Perkembangan PSBB di Jakarta,NETRAL,Warga Pulau Tidung Disosialisasikan Penerapan PSBB,
2020-04-14,Update Perkembangan PSBB di Jakarta,NETRAL,Pemprov DKI Terbitkan Pergub Nomor 33 Tahun 2020 Sebagai Dasar Hukum Pelaksanaan PSBB,
2020-04-14,Update Perkembangan PSBB di Jakarta,NETRAL,Pedagang dan Penumpang KRL di Stasiun Gondangdia Disosialisasikan PSBB,
2020-04-14,Update Perkembangan PSBB di Jakarta,NETRAL,Warga Tanah Abang Disosialisasikan Kebijakan PSBB,
2020-04-15,Evaluasi Pelaksanaan PSBB di DKI Jakarta,NETRAL,Disnakertrans dan Energi DKI Tinjau Penerapan PSBB,
2020-04-15,Evaluasi Pelaksanaan PSBB di DKI Jakarta,NETRAL,Pengwasan PSBB di Terminal Kampung Rambutan Diperketat,
2020-04-15,Evaluasi Pelaksanaan PSBB di DKI Jakarta,NETRAL,Petugas Gabungan di Jaksel Pantau PSBB di Tiga Lokasi,
2020-04-15,Evaluasi Pelaksanaan PSBB di DKI Jakarta,NETRAL,Monitoring PSBB Dilakukan di Terminal Kalideres,
2020-04-15,Evaluasi Pelaksanaan PSBB di DKI Jakarta,NETRAL,Pemprov DKI dan Forkopimda Evaluasi Tiga Hari Pertama Pelaksanaan PSBB,
2020-04-15,Evaluasi Pelaksanaan PSBB di DKI Jakarta,NETRAL,Satpol PP Optimalkan Pengawasan PSBB,
2020-04-15,Evaluasi Pelaksanaan PSBB di DKI Jakarta,NETRAL,Wabup Minta Petugas Aktif Monitoring PSBB,
2020-04-15,Evaluasi Pelaksanaan PSBB di DKI Jakarta,NETRAL,Penerapan PSBB Disosialisasikan di Pusat Perbelanjaan,
2020-04-15,Evaluasi Pelaksanaan PSBB di DKI Jakarta,NETRAL,1.799 Kendaraan Langgar Aturan PSBB di Jakut Ditindak,
2020-04-15,Evaluasi Pelaksanaan PSBB di DKI Jakarta,NETRAL,Titik Pemeriksaan Wilayah Perbatasan Selama PSBB Dijaga 24 Jam,
2020-04-15,Evaluasi Pelaksanaan PSBB di DKI Jakarta,NETRAL,Pemkot Jakpus Monitoring Pelaksanaan PSBB di Kawasan Bundaran HI,
2020-04-15,Evaluasi Pelaksanaan PSBB di DKI Jakarta,NETRAL,Kecamatan Mampang Prapatan Monitoring Penerapan PSBB,
2020-04-15,Evaluasi Pelaksanaan PSBB di DKI Jakarta,NETRAL,128 Petugas Sudinhub Jakut Awasi Penerapan PSBB,
2020-04-15,Evaluasi Pelaksanaan PSBB di DKI Jakarta,NETRAL,Satpol PP Jakpus Sosialisasikan PSBB di Enam Lokasi,
2020-04-15,Evaluasi Pelaksanaan PSBB di DKI Jakarta,NETRAL,Pedagang Pasar Serdang Disosialisasikan PSBB,
2020-04-15,Evaluasi Pelaksanaan PSBB di DKI Jakarta,NETRAL,Amarta Apresiasi Penerapan PSBB dan Pemberian Bantuan Sosial,
2020-04-15,Evaluasi Pelaksanaan PSBB di DKI Jakarta,NETRAL,Sosialisasi Penerapan PSBB Digencarkan,
2020-04-15,Evaluasi Pelaksanaan PSBB di DKI Jakarta,NETRAL,Wakil Ketua DPRD Ajak Warga Patuhi Pelaksanaan PSBB,
2020-04-15,Evaluasi Pelaksanaan PSBB di DKI Jakarta,NETRAL,Warga Pulau Tidung Disosialisasikan Penerapan PSBB,
2020-04-15,Evaluasi Pelaksanaan PSBB di DKI Jakarta,NETRAL,Pemprov DKI Terbitkan Pergub Nomor 33 Tahun 2020 Sebagai Dasar Hukum Pelaksanaan PSBB,
2020-04-15,Evaluasi Pelaksanaan PSBB di DKI Jakarta,NETRAL,Pedagang dan Penumpang KRL di Stasiun Gondangdia Disosialisasikan PSBB,
2020-04-15,Evaluasi Pelaksanaan PSBB di DKI Jakarta,NETRAL,Warga Tanah Abang Disosialisasikan Kebijakan PSBB,
2020-04-16,Menyelaraskan Kebijakan dalam PSBB Ibu Kota,NETRAL,Disnakertrans dan Energi DKI Tinjau Penerapan PSBB,
2020-04-16,Menyelaraskan Kebijakan dalam PSBB Ibu Kota,NETRAL,Pengwasan PSBB di Terminal Kampung Rambutan Diperketat,
2020-04-16,Menyelaraskan Kebijakan dalam PSBB Ibu Kota,NETRAL,Petugas Gabungan di Jaksel Pantau PSBB di Tiga Lokasi,
2020-04-16,Menyelaraskan Kebijakan dalam PSBB Ibu Kota,NETRAL,Monitoring PSBB Dilakukan di Terminal Kalideres,
2020-04-16,Menyelaraskan Kebijakan dalam PSBB Ibu Kota,NETRAL,Pemprov DKI dan Forkopimda Evaluasi Tiga Hari Pertama Pelaksanaan PSBB,
2020-04-16,Menyelaraskan Kebijakan dalam PSBB Ibu Kota,NETRAL,Satpol PP Optimalkan Pengawasan PSBB,
2020-04-16,Menyelaraskan Kebijakan dalam PSBB Ibu Kota,NETRAL,Wabup Minta Petugas Aktif Monitoring PSBB,
2020-04-16,Menyelaraskan Kebijakan dalam PSBB Ibu Kota,NETRAL,Penerapan PSBB Disosialisasikan di Pusat Perbelanjaan,
2020-04-16,Menyelaraskan Kebijakan dalam PSBB Ibu Kota,NETRAL,1.799 Kendaraan Langgar Aturan PSBB di Jakut Ditindak,
2020-04-16,Menyelaraskan Kebijakan dalam PSBB Ibu Kota,NETRAL,Titik Pemeriksaan Wilayah Perbatasan Selama PSBB Dijaga 24 Jam,
2020-04-16,Menyelaraskan Kebijakan dalam PSBB Ibu Kota,NETRAL,Pemkot Jakpus Monitoring Pelaksanaan PSBB di Kawasan Bundaran HI,
2020-04-16,Menyelaraskan Kebijakan dalam PSBB Ibu Kota,NETRAL,Kecamatan Mampang Prapatan Monitoring Penerapan PSBB,
2020-04-16,Menyelaraskan Kebijakan dalam PSBB Ibu Kota,NETRAL,128 Petugas Sudinhub Jakut Awasi Penerapan PSBB,
2020-04-16,Menyelaraskan Kebijakan dalam PSBB Ibu Kota,NETRAL,Satpol PP Jakpus Sosialisasikan PSBB di Enam Lokasi,
2020-04-16,Menyelaraskan Kebijakan dalam PSBB Ibu Kota,NETRAL,Pedagang Pasar Serdang Disosialisasikan PSBB,
2020-04-16,Menyelaraskan Kebijakan dalam PSBB Ibu Kota,NETRAL,Amarta Apresiasi Penerapan PSBB dan Pemberian Bantuan Sosial,
2020-04-16,Menyelaraskan Kebijakan dalam PSBB Ibu Kota,NETRAL,Sosialisasi Penerapan PSBB Digencarkan,
2020-04-16,Menyelaraskan Kebijakan dalam PSBB Ibu Kota,NETRAL,Wakil Ketua DPRD Ajak Warga Patuhi Pelaksanaan PSBB,
2020-04-16,Menyelaraskan Kebijakan dalam PSBB Ibu Kota,NETRAL,Warga Pulau Tidung Disosialisasikan Penerapan PSBB,
2020-04-16,Menyelaraskan Kebijakan dalam PSBB Ibu Kota,NETRAL,Pemprov DKI Terbitkan Pergub Nomor 33 Tahun 2020 Sebagai Dasar Hukum Pelaksanaan PSBB,
2020-04-16,Menyelaraskan Kebijakan dalam PSBB Ibu Kota,NETRAL,Pedagang dan Penumpang KRL di Stasiun Gondangdia Disosialisasikan PSBB,
2020-04-16,Menyelaraskan Kebijakan dalam PSBB Ibu Kota,NETRAL,Warga Tanah Abang Disosialisasikan Kebijakan PSBB,
2020-04-16,Menyelaraskan Kebijakan dalam PSBB Ibu Kota,NETRAL,7.048 Paket Bansos Sudah Didistribusikan di Jakpus,
2020-04-16,Menyelaraskan Kebijakan dalam PSBB Ibu Kota,NETRAL,Tenaga Medis di RSUD Kepulauan Seribu Dapat Bantuan APD,
2020-04-16,Menyelaraskan Kebijakan dalam PSBB Ibu Kota,NETRAL,Anggota FKDM Dikerahkan Bantu Pengawasan PSBB dan Pemberian Bansos,
2020-04-16,Menyelaraskan Kebijakan dalam PSBB Ibu Kota,NETRAL,Senyum Zaidah dan Inas Saat Menerima Bantuan Sosial,
2020-04-16,Menyelaraskan Kebijakan dalam PSBB Ibu Kota,NETRAL,Kecamatan Kramat Jati Monitoring PSBB di Pusat Perbelanjaan,
2020-04-16,Menyelaraskan Kebijakan dalam PSBB Ibu Kota,NETRAL,Pemkab Salurkan 2.790 Paket Bantuan ke Kepulauan Seribu Utara,
2020-04-16,Menyelaraskan Kebijakan dalam PSBB Ibu Kota,NETRAL,Sejumlah Perusahaan di Cengkareng Dimonitoring Penerapan PSBB,
2020-04-16,Menyelaraskan Kebijakan dalam PSBB Ibu Kota,NETRAL,Kepulauan Seribu Selatan Distribusikan 2.042 Paket Bantuan Sosial,
2020-04-16,Menyelaraskan Kebijakan dalam PSBB Ibu Kota,NETRAL,ASN Dinas Kebudayaan Kumpulkan Donasi Bagi Pekerja Seni Terdampak COVID-19,
2020-04-16,Menyelaraskan Kebijakan dalam PSBB Ibu Kota,NETRAL,Dinas Bina Marga Pastikan Pekerjaan Konstruksi Patuhi Aturan PSBB,
2020-04-16,Menyelaraskan Kebijakan dalam PSBB Ibu Kota,NETRAL,Disnakertrans dan Energi DKI Lakukan Pengawasan PSBB,
2020-04-16,Menyelaraskan Kebijakan dalam PSBB Ibu Kota,NETRAL,74.919 Paket Bansos Didistribusikan Hari Ini,
2020-04-16,Menyelaraskan Kebijakan dalam PSBB Ibu Kota,NETRAL,Upaya Persuasif Satpol PP Jaktim Awasi Penerapan PSBB,
2020-04-16,Menyelaraskan Kebijakan dalam PSBB Ibu Kota,NETRAL,Monitoring Wilayah Pelaksanaan PSBB Diapresiasi Anggota Dewan,
2020-04-16,Menyelaraskan Kebijakan dalam PSBB Ibu Kota,NETRAL,PSBB di Jakarta Pagi Ini Petugas Gabungan Halau Penjual Ikan Hias di Jatinegara,
2020-04-16,Menyelaraskan Kebijakan dalam PSBB Ibu Kota,NETRAL,PSBB di Jakarta Kerumunan PKL di Depan Pasar Cipulir Dibubarkan,
2020-04-16,Menyelaraskan Kebijakan dalam PSBB Ibu Kota,NETRAL,Satpol PP Jaktim Halau PKL di Jl Matraman Raya,
2020-04-16,Menyelaraskan Kebijakan dalam PSBB Ibu Kota,NETRAL,Monitoring Penerapan PSBB Terus Digencarkan di Mampang Prapatan,
2020-04-16,Menyelaraskan Kebijakan dalam PSBB Ibu Kota,NETRAL,DRD Dukung Penerapan PSBB,
2020-04-16,Menyelaraskan Kebijakan dalam PSBB Ibu Kota,NETRAL,Dispora Tutup Fasilitas Olahraga Selama PSBB,
2020-04-16,Menyelaraskan Kebijakan dalam PSBB Ibu Kota,NETRAL,Petugas Gabungan Monitoring Penerapan PSBB di Jl Tambak,
2020-04-16,Menyelaraskan Kebijakan dalam PSBB Ibu Kota,NETRAL,Satpol PP Jaksel Monitoring Penerapan PSBB di Setiabudi,
2020-04-16,Menyelaraskan Kebijakan dalam PSBB Ibu Kota,NETRAL,Satpol PP Pastikan Tempat Hiburan Setop Operasi Selama PSBB,
2020-04-16,Pelantikan Wakil Gubernur DKI Jakarta,NETRAL,Presiden Lantik Ahmad Riza Patria Sebagai Wagub DKI Jakarta,
2020-04-16,Pelantikan Wakil Gubernur DKI Jakarta,NETRAL,Ketua DPRD Ucapkan Selamat Atas Pelantikan Wagub Terpilih,
2020-04-17,Optimalisasi Bantuan Sosial di Jakarta,NETRAL,Baznas Bazis DKI Distribusikan 1.500 Paket Sembako ke Kepulauan Seribu,
2020-04-17,Optimalisasi Bantuan Sosial di Jakarta,NETRAL,Pemkot Jakbar Salurkan Bantuan Kebutuhan Pokok,
2020-04-17,Optimalisasi Bantuan Sosial di Jakarta,NETRAL,Pemprov DKI Terima Bantuan 5.000 Paket Sembako dari PT Adedanmas untuk Warga Terdampak COVID-19,
2020-04-17,Optimalisasi Bantuan Sosial di Jakarta,NETRAL,132 Warga Pulau Tidung Dapat Kartu Keluarga Sejahtera,
2020-04-17,Optimalisasi Bantuan Sosial di Jakarta,NETRAL,Sudinhub Jakbar Terima Bantuan APD,
2020-04-17,Optimalisasi Bantuan Sosial di Jakarta,NETRAL,Anggota Dewan Apresiasi Pemberian Bantuan untuk Guru Ngaji,
2020-04-17,Optimalisasi Bantuan Sosial di Jakarta,NETRAL,30 Ribu Paket Kebutuhan Pokok Didistribusikan untuk Warga Terdampak COVID-19,
2020-04-17,Optimalisasi Bantuan Sosial di Jakarta,NETRAL,Sudin Kesehatan Jakut Terima Bantuan APD untuk Tenaga Medis,
2020-04-17,Optimalisasi Bantuan Sosial di Jakarta,NETRAL,Petugas di TPST Bantar Gebang Dapat Bantuan APD,
2020-04-17,Optimalisasi Bantuan Sosial di Jakarta,NETRAL,Pemkab Terima Bantuan 1.920 APD dan Alat Disinfektan,
2020-04-20,Kebijakan Anggaran Penanganan Covid-19,NETRAL,,
2020-04-20,Siaga Banjir Jakarta,NETRAL,,
2020-04-20,Perkembangan Bantuan Sosial di Jakarta,NETRAL,,
2020-04-21,Pemprov DKI Tindak Tegas Perusahaan yang Melanggar PSBB,NETRAL,Pengawasan PSBB Perusahaan di Jakbar Semakin Patuh,
2020-04-21,Pemprov DKI Tindak Tegas Perusahaan yang Melanggar PSBB,NETRAL,67 Perusahaan di Jaksel Telah Dimonitoring Selama Penerapan PSBB,
2020-04-21,Pemprov DKI Tindak Tegas Perusahaan yang Melanggar PSBB,NETRAL,Monitoring Perusahaan di Jakpus Terus Digencarkan Selama PSBB,
2020-04-21,Pemprov DKI Tindak Tegas Perusahaan yang Melanggar PSBB,NETRAL,PSBB Tujuh Perusahaan di Jakbar Ditutup Sementara,
2020-04-21,Pemprov DKI Tindak Tegas Perusahaan yang Melanggar PSBB,NETRAL,Dinas Nakertrans dan Energi Temukan 281 Perusahaan Langgar Aturan Saat PSBB,
2020-04-21,Perpanjang Penerapan PSBB,NETRAL,,
2020-04-22,Pemprov DKI Jakarta Siapkan Sekolah Sebagai Tempat Tinggal Tenaga Medis dan Ruang Isolasi Pasien Covid-19,POSITIF,,
2020-04-22,Distribusi Bansos Tanpa Kepgub,NETRAL,,
2020-04-23,Menilik Kebijakan Gedung Sekolah Dijadikan Ruang Isolasi Covid-19,NETRAL,21 Sekolah di Jakut Disiapkan Jadi Lokasi Isolasi Pasien COVID 19,
2020-04-23,Menilik Kebijakan Gedung Sekolah Dijadikan Ruang Isolasi Covid-19,NETRAL,24 Sekolah di Jaktim Disiapkan untuk Penanganan COVID-19,
2020-04-23,Menilik Kebijakan Gedung Sekolah Dijadikan Ruang Isolasi Covid-19,NETRAL,23 Sekolah di Jaksel Disiapkan Jadi Tempat Penanganan COVID-19,https://www.beritajakarta.id/read/79028/23-sekolah-di-jaksel-disiapkan-jadi-tempat-penanganan-covid-19#.XqaXUFczbIU
2020-04-23,Menilik Kebijakan Gedung Sekolah Dijadikan Ruang Isolasi Covid-19,NETRAL,,https://www.beritajakarta.id/read/78997/24-sekolah-di-jakbar-disiapkan-untuk-penanganan-covid-19#.XqaYD1czbIU
2020-04-23,Menilik Kebijakan Gedung Sekolah Dijadikan Ruang Isolasi Covid-19,NETRAL,Pemkab Siapkan 12 Sekolah untuk Ruang Isolasi Pasien COVID-19,
2020-04-23,Menilik Kebijakan Gedung Sekolah Dijadikan Ruang Isolasi Covid-19,NETRAL,53 Sekolah di Jakpus Dijadikan Tempat Penanganan COVID-19,
2020-04-23,Menilik Kebijakan Gedung Sekolah Dijadikan Ruang Isolasi Covid-19,NETRAL,Disdik Siapkan Sekolah Sebagai Fasilitas Pendukung Penaganan COVID-19,
2020-04-23,Pemprov DKI Perpanjangan Penerapan PSBB Hingga 4 Pekan,NETRAL,Pemprov DKI Perpanjang PSBB Hingga 22 Mei 2020,
2020-04-23,Pemprov DKI Terbitkan Kepgub Penerima Bansos,NETRAL,Pemprov DKI Tingkatkan Pendataan Bansos Agar Tepat Sasaran,https://www.beritajakarta.id/read/78975/pemprov-dki-tingkatkan-pendataan-bansos-agar-tepat-sasaran#.XqFfi6EzbIU
2020-04-23,Pemprov DKI Terbitkan Kepgub Penerima Bansos,NETRAL,1.828 Penyandang Disabilitas Diberi Bansos,
2020-04-24,Tumpang Tindih Kebijakan Izin Perusahaan Selama PSBB,NETRAL,Masyarakat Bisa Laporkan Aktivitas Usaha Dilarang Operasi Selama PSBB,
2020-04-24,Tumpang Tindih Kebijakan Izin Perusahaan Selama PSBB,NETRAL,Sudin Nakertrans dan Energi Jaktim Tindak Kantor Perusahaan Otomotif,
2020-04-24,Realokasi dan Relaksasi Biaya Penanganan Covid-19,NETRAL,,https://www.beritajakarta.id/read/79050/kolaborasi-lawan-covid-19-pemprov-dki-terima-bantuan-dari-4-kolaborator-baru-hingga-pemkot-shanghai#.XqaWrFczbIU
2020-04-24,Realokasi dan Relaksasi Biaya Penanganan Covid-19,NETRAL,,
2020-04-24,Realokasi dan Relaksasi Biaya Penanganan Covid-19,NETRAL,Komisi C Usulkan Anggaran Kunker dan Sosper Dialihkan untuk Bantu Warga,
2020-04-24,Realokasi dan Relaksasi Biaya Penanganan Covid-19,NETRAL,Sudin Parekraf Jaktim Lakukan Pendataan Pelaku Ekonomi Kreatif,https://www.beritajakarta.id/read/79019/sudin-parekraf-jaktim-lakukan-pendataan-pelaku-ekonomi-kreatif#.XqaXVlczbIU
2020-04-27,Pemprov DKI Jakarta Siapkan GOR untuk Warga Tak Miliki Tempat Tinggal,POSITIF,Pemkot Jaktim Siapkan Tiga Tempat Penampungan Sementara,
2020-04-27,Pemprov DKI Jakarta Siapkan GOR untuk Warga Tak Miliki Tempat Tinggal,POSITIF,GOR Karet Tengsin Disiapkan Jadi Tempat Tinggal Sementara,
2020-04-27,Pemprov DKI Jakarta Siapkan GOR untuk Warga Tak Miliki Tempat Tinggal,POSITIF,Sembilan GOR di Jaksel Disiapkan Jadi Tempat Tinggal Sementara,
2020-04-27,Pemprov DKI Jakarta Siapkan GOR untuk Warga Tak Miliki Tempat Tinggal,POSITIF,Dispora Siapkan GOR untuk Penanganan Dampak Sosial COVID-19,
2020-04-28,Pemprov DKI Jakarta Hapus Denda Kendaraan Bermotor,POSITIF,Pemprov DKI Hapus Sanksi Denda Pajak Kendaraan Bermotor,
2020-04-28,Pemprov DKI Jakarta Hapus Denda Kendaraan Bermotor,POSITIF,Penghapusan Sanksi Pajak Kendaraan Bermotor Diapresiasi Ketua Komisi B,
2020-04-28,Pemprov DKI Jakarta Hapus Denda Kendaraan Bermotor,POSITIF,Ringankan Wajib Pajak Pemprov DKI Keluarkan Tiga Kebijakan Insentif Pajak Daerah dalam Masa PSBB,
2020-04-28,Rumah Pelapor Masjid Gelar Tarawih di Pulogadung Dirusak Kelompok Remaja,NEGATIF,Pemkab Gandeng Pengurus RT/RW Sosialisasikan Anjuran Ibadah di Rumah,https://www.beritajakarta.id/read/79011/pemkab-gandeng-pengurus-rtrw-sosialisasikan-anjuran-ibadah-di-rumah#.XqaYFlczbIU
2020-04-28,Rumah Pelapor Masjid Gelar Tarawih di Pulogadung Dirusak Kelompok Remaja,NEGATIF,Satpol PP Bakal Tindas Tegas Pelanggar PSBB Tahap II,
2020-04-28,Rumah Pelapor Masjid Gelar Tarawih di Pulogadung Dirusak Kelompok Remaja,NEGATIF,Pemkot Jakpus Ajak Warga Beribadah di Rumah Selama Ramadan,
2020-04-28,Rumah Pelapor Masjid Gelar Tarawih di Pulogadung Dirusak Kelompok Remaja,NEGATIF,Kasatpol PP Pimpin Pengawasan dan Penindakan PSBB Tahap II,
